Date,Home,Away
1,Lyon,Rennes
2,Nice,Metz
3,Marseille,Monaco
4,Montpellier,Lille
5,Clermont,Strasbourg
6,Lorient,Le Havre
7,Reims,Nantes
8,Toulose,Lens
9,Paris SG,Brest
10,Strasbourg,Paris SG
11,Rennes,Montpellier
12,Nantes,Lens
13,Monaco,Le Havre
14,Lille,Clermont
15,Metz,Lorient
16,Reims,Toulose
17,Brest,Nice
18,Lyon,Marseille
19,Clermont,Brest
20,Le Havre,Rennes
21,Lens,Strasbourg
22,Lorient,Reims
23,Marseille,Metz
24,Montpellier,Lyon
25,Nice,Monaco
26,Paris SG,Lille
27,Toulose,Nantes
